Variable,N,Mean,SD,Min,Median,Max
EQ,463.0,-0.19156533305943355,0.43018733017197275,-3.0871892472958966,-0.1062518643792549,-0.0080451748992371
DIV,546.0,0.8936192787922382,0.07716343632351222,0.6666666666666667,0.8888888888888888,0.98989898989899
AMIHUD,337.0,72.2273198946985,235.92785245578852,0.2791602560892948,4.251470967733104,1726.0461806658327
CGQ,63.0,-0.0035818533987100904,0.5056499303103945,-0.9839460491217048,0.0219668099060225,0.96538985641913
size,550.0,5.734181572069072,3.431210631489887,0.0,4.666841773349252,11.044566739287184
Leverage,550.0,0.28351807230248877,0.2562767672868251,0.0,0.2394444593237972,0.9573869999999998
age,550.0,25.863745454545455,18.98057053180611,0.0,22.0,97.51
ROA,550.0,0.10833384751558314,0.1151264373364152,-0.0116713999999999,0.0721224599530617,0.5468546175544134
ROE,550.0,0.17589745212608282,0.1923229957926178,-0.402923,0.15829500000000002,0.7011799999999998
Sales Growth,449.0,0.3324989379642304,1.1081317738786958,-0.9999999422895972,0.1449266845707252,8.597202115870527
