,EQ,DIV,AMIHUD,CGQ,size,Leverage,age,ROA,ROE,Sales Growth
EQ,1.0,-0.0196,0.0392,-0.0095,0.185,-0.0786,0.0203,0.0739,0.0716,-0.125
DIV,-0.0196,1.0,-0.0645,-0.5619,0.0566,0.2017,-0.052,-0.3612,-0.2395,0.0111
AMIHUD,0.0392,-0.0645,1.0,-0.1031,-0.2058,-0.181,-0.0071,-0.0016,0.0243,-0.0227
CGQ,-0.0095,-0.5619,-0.1031,1.0,0.1173,-0.3421,0.2137,0.4214,0.0449,-0.0231
size,0.185,0.0566,-0.2058,0.1173,1.0,0.3861,0.0732,0.0533,0.0931,0.0189
Leverage,-0.0786,0.2017,-0.181,-0.3421,0.3861,1.0,-0.042,-0.2029,-0.1852,0.0029
age,0.0203,-0.052,-0.0071,0.2137,0.0732,-0.042,1.0,0.1623,0.3084,-0.0233
ROA,0.0739,-0.3612,-0.0016,0.4214,0.0533,-0.2029,0.1623,1.0,0.6781,-0.0674
ROE,0.0716,-0.2395,0.0243,0.0449,0.0931,-0.1852,0.3084,0.6781,1.0,-0.0087
Sales Growth,-0.125,0.0111,-0.0227,-0.0231,0.0189,0.0029,-0.0233,-0.0674,-0.0087,1.0
